time_s,controller_state,reason,robot_state_age_s,command_sent,measured_x_T_S_m,measured_y_T_S_m,measured_z_T_S_m,desired_x_T_S_m,desired_y_T_S_m,desired_z_T_S_m,error_x_m,error_y_m,error_z_m,position_error_m,orientation_error_deg
10.090347692,READY,waiting_for_consecutive_valid_measurements,0.002832458,1,0.054499507,0.000000000,-0.130497586,0.000000000,0.000000000,0.050000000,-0.054499507,0.000005352,-0.180497586,0.188545948,0.005626349
10.102455927,READY,waiting_for_consecutive_valid_measurements,0.002105018,1,0.054499507,-0.000000001,-0.130497586,0.000000000,0.000000000,0.050000000,-0.054499507,0.000005351,-0.180497586,0.188545948,0.005626349
10.113585736,TRACKING,,0.012235527,1,0.054499507,-0.000000001,-0.130497586,0.000000000,0.000000000,0.050000000,-0.054499507,0.000005351,-0.180497586,0.188545948,0.005626349
10.127295512,TRACKING,,0.003455959,1,0.054499507,0.000000000,-0.130497586,0.000000000,0.000000000,0.050000000,-0.054499507,0.000005352,-0.180497586,0.188545948,0.005626349
10.134212326,TRACKING,,0.004642981,1,0.054465093,0.000000002,-0.130393601,0.000000000,0.000000000,0.050000000,-0.054464872,0.000005344,-0.180393668,0.188436455,0.005621176
10.142143965,TRACKING,,0.005728306,1,0.054402501,0.000000004,-0.130204259,0.000000000,0.000000000,0.050000000,-0.054401885,0.000005330,-0.180204445,0.188237103,0.005613885
10.155020428,TRACKING,,0.004726801,1,0.054313005,0.000000006,-0.129933268,0.000000000,0.000000000,0.050000000,-0.054311830,0.000005309,-0.179933622,0.187951811,0.005608186
10.165228897,TRACKING,,0.001968358,1,0.054196677,0.000000009,-0.129580724,0.000000000,0.000000000,0.050000000,-0.054194785,0.000005281,-0.179581295,0.187580693,0.005608973
10.176717471,TRACKING,,0.002784780,1,0.054065467,0.000000011,-0.129182686,0.000000000,0.000000000,0.050000000,-0.054062777,0.000005249,-0.179183498,0.187161721,0.005620735
10.186914946,TRACKING,,0.001148533,1,0.053888227,0.000000014,-0.128644808,0.000000000,0.000000000,0.050000000,-0.053884473,0.000005207,-0.178645940,0.186595574,0.005654521
10.197638643,TRACKING,,0.000131172,1,0.053888227,0.000000014,-0.128644808,0.000000000,0.000000000,0.050000000,-0.053884473,0.000005207,-0.178645940,0.186595574,0.005654521
10.207755372,TRACKING,,0.010286661,1,0.053640463,0.000000019,-0.127892695,0.000000000,0.000000000,0.050000000,-0.053635249,0.000005148,-0.177894267,0.185803957,0.005734631
10.216895571,TRACKING,,0.000521015,1,0.053387783,0.000000024,-0.127125423,0.000000000,0.000000000,0.050000000,-0.053381132,0.000005078,-0.177127427,0.184996408,0.005841051
10.226474097,TRACKING,,0.002073104,1,0.053177947,0.000000028,-0.126486690,0.000000000,0.000000000,0.050000000,-0.053170150,0.000005016,-0.176489039,0.184324295,0.005946311
