time_s,controller_state,reason,robot_state_age_s,command_sent,measured_x_T_S_m,measured_y_T_S_m,measured_z_T_S_m,desired_x_T_S_m,desired_y_T_S_m,desired_z_T_S_m,error_x_m,error_y_m,error_z_m,position_error_m,orientation_error_deg
6.822587785,READY,waiting_for_consecutive_valid_measurements,0.001421211,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005118
6.832640747,READY,waiting_for_consecutive_valid_measurements,0.001275172,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005118
6.846008680,READY,waiting_for_consecutive_valid_measurements,0.008444155,0,0.000000000,-0.000000027,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000027,0.000000010,0.000000029,0.000005486
6.853203784,READY,waiting_for_consecutive_valid_measurements,0.000290891,0,0.000000000,-0.000000030,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000030,0.000000010,0.000000032,0.000006168
6.863148701,READY,waiting_for_consecutive_valid_measurements,0.000149602,0,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000028,0.000005349
6.873314457,READY,waiting_for_consecutive_valid_measurements,0.000229152,0,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000026,0.000004986
6.883196446,READY,waiting_for_consecutive_valid_measurements,0.000332447,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005134
6.893380011,READY,waiting_for_consecutive_valid_measurements,0.000073613,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005149
6.903467405,READY,waiting_for_consecutive_valid_measurements,0.002187026,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005113
6.913540551,READY,waiting_for_consecutive_valid_measurements,0.001756033,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005110
6.923625570,READY,waiting_for_consecutive_valid_measurements,0.001879513,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005109
6.933982483,READY,waiting_for_consecutive_valid_measurements,0.000819244,0,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000027,0.000005206
6.943929774,READY,waiting_for_consecutive_valid_measurements,0.000444054,0,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000025,0.000004814
6.954154895,READY,waiting_for_consecutive_valid_measurements,0.000537852,0,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000028,0.000005344
6.964254162,READY,waiting_for_consecutive_valid_measurements,0.000599592,0,0.000000000,-0.000000023,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000023,0.000000010,0.000000025,0.000004648
6.974285752,READY,waiting_for_consecutive_valid_measurements,0.000673205,0,0.000000000,-0.000000023,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000023,0.000000010,0.000000025,0.000004648
6.984408765,READY,waiting_for_consecutive_valid_measurements,0.000632836,0,0.000000000,-0.000000025,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000025,0.000000010,0.000000027,0.000005163
6.994516343,READY,waiting_for_consecutive_valid_measurements,0.000685079,0,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000026,0.000004826
