time_s,controller_state,reason,robot_state_age_s,command_sent,measured_x_T_S_m,measured_y_T_S_m,measured_z_T_S_m,desired_x_T_S_m,desired_y_T_S_m,desired_z_T_S_m,error_x_m,error_y_m,error_z_m,position_error_m,orientation_error_deg
15.757553162,READY,waiting_for_consecutive_valid_measurements,0.001254993,1,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000025,0.000004804
15.767629915,READY,waiting_for_consecutive_valid_measurements,0.002420937,1,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000025,0.000004804
15.781555947,READY,waiting_for_consecutive_valid_measurements,0.000018997,1,0.000000000,-0.000000028,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000028,0.000000010,0.000000029,0.000005601
15.791703939,READY,waiting_for_consecutive_valid_measurements,0.000465428,1,0.000000000,-0.000000028,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000028,0.000000010,0.000000030,0.000005744
15.801633465,READY,waiting_for_consecutive_valid_measurements,0.001496019,1,0.000000000,-0.000000028,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000028,0.000000010,0.000000030,0.000005744
15.811802829,READY,waiting_for_consecutive_valid_measurements,0.000414373,1,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000026,0.000004894
15.821859397,READY,waiting_for_consecutive_valid_measurements,0.000167411,1,0.000000000,-0.000000022,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000022,0.000000010,0.000000024,0.000004515
15.832439573,READY,waiting_for_consecutive_valid_measurements,0.000180472,1,0.000000000,-0.000000024,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000024,0.000000010,0.000000026,0.000004883
15.843389003,READY,waiting_for_consecutive_valid_measurements,0.003152325,1,0.000000000,-0.000000023,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000023,0.000000010,0.000000024,0.000004594
15.853420638,READY,waiting_for_consecutive_valid_measurements,0.001252618,1,0.000000000,-0.000000027,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000027,0.000000010,0.000000028,0.000005417
15.863448711,READY,waiting_for_consecutive_valid_measurements,0.000615030,1,0.000000000,-0.000000027,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000027,0.000000010,0.000000028,0.000005404
15.873507654,READY,waiting_for_consecutive_valid_measurements,0.000700517,1,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000028,0.000005341
15.884378722,READY,waiting_for_consecutive_valid_measurements,0.000263584,1,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000027,0.000005228
15.894400858,READY,waiting_for_consecutive_valid_measurements,0.000225590,1,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000027,0.000005219
15.904481173,READY,waiting_for_consecutive_valid_measurements,0.001646808,1,0.000000000,-0.000000026,0.050000010,0.000000000,0.000000000,0.050000000,-0.000000000,-0.000000026,0.000000010,0.000000027,0.000005195
