sample_idx,x,y,z,a_deg,b_deg,g_deg,r00,r01,r02,r03,r10,r11,r12,r13,r20,r21,r22,r23,r30,r31,r32,r33
0,-0.139439,0.815069,0.357598,-159.857657,-40.107736,77.453235,0.166148,0.746562,0.644221,0.000000,0.964602,0.012596,-0.263373,0.000000,-0.204743,0.665188,-0.718056,0.000000,-0.139439,0.815069,0.357598,1.000000
1,-0.264117,0.763535,0.232313,-164.902978,-26.714489,90.134337,-0.002094,0.893247,0.449541,0.000000,0.965199,0.119349,-0.232653,0.000000,-0.261474,0.433417,-0.862427,0.000000,-0.264117,0.763535,0.232313,1.000000
2,-0.229255,0.873969,0.434592,-152.334263,-48.061203,76.246639,0.158891,0.649168,0.743852,0.000000,0.942380,0.124920,-0.310316,0.000000,-0.294375,0.750312,-0.591925,0.000000,-0.229255,0.873969,0.434592,1.000000
3,0.253143,0.857834,0.221548,-162.557511,-32.463205,52.922085,0.508684,0.673140,0.536753,0.000000,0.858125,-0.446810,-0.252908,0.000000,0.069585,0.589263,-0.804939,0.000000,0.253143,0.857834,0.221548,1.000000
4,0.159418,0.727364,0.894621,-90.072010,-76.634288,-9.272193,0.228143,-0.037246,0.972905,0.000000,0.959990,-0.157999,-0.231163,0.000000,0.162332,0.986736,-0.000291,0.000000,0.159418,0.727364,0.894621,1.000000
5,-0.250512,0.729850,0.855790,-102.084637,-74.353997,34.959388,0.221027,0.154531,0.962937,0.000000,0.891653,0.367955,-0.263714,0.000000,-0.395077,0.916911,-0.056461,0.000000,-0.250512,0.729850,0.855790,1.000000
6,-0.300866,0.238939,0.325251,-173.866524,-15.515814,104.181712,-0.236067,0.934182,0.267502,0.000000,0.956962,0.271304,-0.102951,0.000000,-0.168753,0.231690,-0.958041,0.000000,-0.300866,0.238939,0.325251,1.000000
7,0.243660,0.283182,0.290616,-171.760697,-1.446631,11.043807,0.981159,0.191497,0.025246,0.000000,0.193131,-0.970648,-0.143262,0.000000,-0.002930,0.145441,-0.989363,0.000000,0.243660,0.283182,0.290616,1.000000
8,-0.212861,0.117115,0.887136,-128.798776,-73.450780,57.854290,0.151554,0.241170,0.958566,0.000000,0.928014,0.299151,-0.221988,0.000000,-0.340299,0.923224,-0.178475,0.000000,-0.212861,0.117115,0.887136,1.000000
9,0.234795,0.134478,0.866645,-116.224094,-71.807938,21.300837,0.290873,0.113411,0.950006,0.000000,0.954525,-0.102105,-0.280067,0.000000,0.065239,0.988287,-0.137956,0.000000,0.234795,0.134478,0.866645,1.000000
10,0.312231,0.234666,0.281988,-177.087632,0.577121,58.622464,0.520644,0.853703,-0.010072,0.000000,0.852378,-0.520434,-0.050806,0.000000,-0.048616,0.017867,-0.998658,0.000000,0.312231,0.234666,0.281988,1.000000
